Month,Date,Score
July,7/9/22,3
July,7/8/22,4
July,7/7/22,4
July,7/5/22,5
July,7/4/22,4
June,6/28/22,5
June,6/27/22,3
June,6/26/22,3
June,6/25/22,4
June,6/24/22,5
June,6/23/22,4
June,6/22/22,3
June,6/21/22,5
June,6/20/22,3
June,6/17/22,5
June,6/16/22,3
June,6/15/22,3
June,6/14/22,3
June,6/13/22,3
June,6/12/22,5
June,6/6/22,5
May,5/19/22,5
May,5/14/22,4
May,5/13/22,5
May,5/12/22,4
May,5/11/22,4
May,5/8/22,4
May,5/6/22,5
May,5/4/22,5
May,5/3/22,4
May,5/1/22,3
April,4/23/22,5
April,4/21/22,4
April,4/20/22,3
April,4/16/22,4
April,4/15/22,5
April,4/14/22,4
April,4/12/22,6
April,4/11/22,6
April,4/10/22,5
April,4/8/22,5
April,4/7/22,6
April,4/6/22,6
April,4/3/22,6
March,3/28/22,5
March,3/26/22,6
March,3/22/22,5
March,3/20/22,6
March,3/19/22,6
March,3/15/22,5
March,3/13/22,5
March,3/12/22,3
March,3/10/22,5
March,3/9/22,4
March,3/8/22,5
March,3/7/22,4
March,3/6/22,5
March,3/5/22,4
March,3/3/22,3
March,3/2/22,5
March,3/1/22,5
Feb,2/27/22,4
Feb,2/25/22,6
Feb,2/24/22,5
Feb,2/21/22,4
Feb,2/20/22,6
Feb,2/17/22,6
Feb,2/16/22,6
Feb,2/14/22,5
Feb,2/13/22,3
Feb,2/9/22,5
Feb,2/7/22,5
Feb,2/5/22,5
Jan,1/31/22,4
Jan,1/29/22,6
Jan,1/28/22,4
Jan,1/27/22,3
Jan,1/26/22,5
Jan,1/25/22,5
Jan,1/24/22,5
Jan,1/23/22,5
Jan,1/22/22,4